app_id,name,is_free,price,final_price,discount_percent,review_score,review_score_desc,total_reviews,positive_ratio,genres,categories,player_modes,language_count,release_date,developers,publishers,header_image,short_description
1426450,Age of Darkness: Final Stand,False,29500,29500,0,6,대체로 긍정적,10628,0.744,전략,싱글 플레이어|멀티플레이어|협동|온라인 협동|Steam 도전 과제|Steam 트레이딩 카드|Steam Cloud|가족 공유,싱글 플레이어|멀티플레이어|협동|온라인 협동,8,2025년 1월 15일,PlaySide,PlaySide,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1426450/header.jpg?t=1776236491,"Age of Darkness: Final Stand is a dark fantasy survival RTS where you must illuminate, build and defend humanity’s last bastion against hordes of Nightmares. Set in the remnants of a kingdom consumed by a deadly fog, you decide. Will you hide in the light? Or take back your world."
1604270,Broken Arrow,False,53000,53000,0,5,복합적,34953,0.5461,전략,싱글 플레이어|멀티플레이어|PvP|온라인 PvP|협동|온라인 협동|Steam 도전 과제|Steam 트레이딩 카드|Steam 창작마당|텍스트 크기 조정|음량 개별 조절|난이도 조정|마우스 전용 옵션|퀵타임 이벤트 없이 플레이 가능|자막 옵션|Steam Cloud|레벨 에디터 포함,싱글 플레이어|멀티플레이어|협동|온라인 협동|PvP,13,2025년 6월 19일,Steel Balalaika,Slitherine Ltd.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1604270/6eaa69efdc71c74fad5c8e1c028648989bc22ff5/header_alt_assets_4.jpg?t=1785789718,"Broken Arrow는 대규모 실시간 현대전 전술 게임으로, 복잡한 연합군 전쟁 시뮬레이션과 액션 중심의 실시간 전술 게임플레이를 결합한 작품입니다."
2389170,Huaxia: Warring States,False,21000,21000,0,5,복합적,755,0.6464,액션|인디|RPG|시뮬레이션|전략|앞서 해보기,싱글 플레이어|Steam 도전 과제|텍스트 크기 조정|카메라 움직임 조정|음량 개별 조절|난이도 조정|퀵타임 이벤트 없이 플레이 가능|수시 저장|Steam Cloud|가족 공유,싱글 플레이어,7,2026년 4월 28일,秦川汉渚,秦川汉渚,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2389170/6a203932eafc553fc31ab7ccaea8a867daa90730/header_koreana.jpg?t=1787207861,HUAXIA: Warring States 서사시를 개척하라. 부족을 세우고 땅을 정복하며 제국을 건설하라. 천지의 운명은 당신의 손안에 달렸다.
3419220,Dungeon Warfare 3,False,20500,10250,50,6,대체로 긍정적,677,0.7858,액션|전략,싱글 플레이어|Steam 도전 과제|컨트롤러 완벽 지원|Steam Cloud|가족 공유,싱글 플레이어,11,2025년 8월 29일,Excidium Inc.|Valsar,Excidium Inc.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3419220/header.jpg?t=1767088236,"끝없이 몰려오는 탐욕스러운 모험가들에 맞서, 신비로운 세계를 재건하고 강력한 방어선을 설계하는 궁극의 K-디펜스 게임에 뛰어드십시오! 잃어버린 세계를 되찾고, 치명적인 함정을 배치해 적들을 물리치세요."
3242950,Outworld Station,False,20500,20500,0,8,매우 긍정적,842,0.8468,인디|시뮬레이션|전략,싱글 플레이어|멀티플레이어|협동|온라인 협동|Steam 도전 과제|Steam Cloud|가족 공유,싱글 플레이어|멀티플레이어|협동|온라인 협동,11,2026년 5월 5일,Trickjump Games Ltd,Trickjump Games Ltd,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3242950/e5e55c6f4b10303151dc964950b78b9ea501e7ac/header_alt_assets_1.jpg?t=1786016284,Take the helm as a new Station Commander and exploit an alien star system in this stunning space-station factory automation game. Amass resources and construct starships using increasingly advanced manufacturing and expand your station in a hostile universe.
2140020,스트롱홀드: 결정판,False,16500,4950,70,8,매우 긍정적,10340,0.865,시뮬레이션|전략,싱글 플레이어|멀티플레이어|PvP|온라인 PvP|Steam 도전 과제|Steam 트레이딩 카드|Steam 창작마당|음량 개별 조절|난이도 조정|마우스 전용 옵션|퀵타임 이벤트 없이 플레이 가능|수시 저장|Steam Cloud|레벨 에디터 포함|가족 공유,싱글 플레이어|멀티플레이어|PvP,17,2023년 11월 7일,Firefly Studios,Firefly Studios,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2140020/header.jpg?t=1765193939,"안녕하세요, 영주님! 당신의 요새가 당신을 기다립니다. 성 경제를 구축하고, 흉악한 악당을 포위하고, 모든 것이 시작된 '성 시뮬레이션'의 근본으로 돌아가세요. 업그레이드된 비주얼, 현대화된 게임 플레이, Steam 멀티플레이어 및 새로운 캠페인과 함께 이 클래식 RTS를 경험하세요."
4292950,Shao Song I,False,16000,12800,20,8,매우 긍정적,2728,0.8266,RPG|시뮬레이션|전략,싱글 플레이어|가족 공유,싱글 플레이어,1,2026년 8월 19일,互动之星|猫眼娱乐,猫眼娱乐|互动之星,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/4292950/dfd52caf6453e43b4d613a662064aca4924a7858/header.jpg?t=1787918118,"Experience an immersive live-action historical game. Reincarnate as Southern Song’s controversial Emperor Zhao Gou, where every choice shapes the dynasty’s fate. Amid Jingkang’s ruin, defy destiny, restore your homeland and stand firm with the oath: The Song may fall, but the realm shall never fall!"
2509200,ERA ONE,False,32000,25600,20,8,매우 긍정적,1557,0.8722,전략|앞서 해보기,싱글 플레이어|가족 공유,싱글 플레이어,11,2025년 8월 6일,Team Complex LTD,Team Complex LTD,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2509200/45da35e5ff9fac78b3d2751a3af7688e23e26d15/header.jpg?t=1786018669,"Era One is an innovative space game that combines elements of real-time strategy, base building, space survival, and tactical battles. Players can create and customize their bases from scratch, construct various types of structures and warships, manage fleets, and engage in tactical space battles."
2492290,언커버 더 스모킹 건,False,24000,24000,0,8,매우 긍정적,448,0.9621,어드벤처|캐주얼|인디|시뮬레이션|전략,싱글 플레이어|Steam 도전 과제|Steam 트레이딩 카드,싱글 플레이어,11,2024년 6월 23일,"ReLU Games, Inc.","ReLU Games, Inc.|KRAFTON, Inc.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2492290/header.jpg?t=1760355284,"AI와의 지능 대결, GPT를 통해 용의자 로봇과 대화를 하면서 증거를 수집하고 사건을 해결 해야 합니다. 수많은 대화와 정보들이 모여서 가리키는 단 하나의 진실은 무엇일까요?"
1765300,얼티밋 좀비 디펜스 2,False,11000,11000,0,6,대체로 긍정적,732,0.7828,액션|어드벤처|캐주얼|인디|전략,싱글 플레이어|멀티플레이어|협동|온라인 협동|크로스 플랫폼 멀티플레이어|Steam 도전 과제|컨트롤러 완벽 지원|DUALSHOCK 컨트롤러 지원|DUALSHOCK 컨트롤러 지원|DualSense 컨트롤러 지원|DualSense 컨트롤러 지원|Steam Cloud|Steam 순위표|가족 공유,싱글 플레이어|멀티플레이어|협동|온라인 협동,16,2025년 11월 20일,Terror Dog Studio,Terror Dog Studio,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1765300/header_koreana.jpg?t=1763629472,"4 플레이어 코옵, 좀비 학살, 기지 건설, 보스 배틀 난투극! 얼티밋 좀비 디펜스 2 의 함정과 방어막으로 감염자들의 웨이브를 물리치고 기지를 업그레이드하세요!"
363150,삼국지13,False,63800,63800,0,5,복합적,7613,0.5801,시뮬레이션,싱글 플레이어|Steam Cloud|가족 공유,싱글 플레이어,4,2016년 1월 27일,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/363150/header_koreana.jpg?t=1760589032,"『삼국지13』은 「이것이야말로 삼국지, 백화요란의 영걸극」을 컨셉으로, 전 무장 플레이를 통한 영걸들의 “인간 드라마”, 장대한 전투를 재현한 “스펙타클” 전투, 광활한 중국 대륙을 풀 3D로 표현한 “역동성”을 통해, 지금 이상으로 「삼국지」의 세계를 체험할 수 있는 작품입니다."
2019300,Dokimon Quest,False,16500,8250,50,6,대체로 긍정적,714,0.7549,어드벤처|캐주얼|RPG|전략,싱글 플레이어|Steam 도전 과제|컨트롤러 완벽 지원|Steam Cloud|Steam 순위표|가족 공유,싱글 플레이어,5,2024년 11월 22일,Yanako RPGs,Yanako RPGs,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2019300/header.jpg?t=1787586999,"A monster-taming RPG meets GBC-era nostalgia. Capture and train 140+ Dokimon across 15+ towns. ""Whoa, watch out — Dokimon are dangerous!"" Uncover the mystery behind your missing childhood friend in the Xelos region."
493340,플래닛 코스터,False,48750,48750,0,8,매우 긍정적,72149,0.9134,액션|어드벤처|캐주얼|시뮬레이션|전략,싱글 플레이어|Steam 도전 과제|Steam 트레이딩 카드|Steam 창작마당|Steam Cloud|가족 공유,싱글 플레이어,9,2016년 11월 17일,Frontier Developments|Aspyr (Mac),Frontier Developments|Aspyr (Mac),https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/493340/header.jpg?t=1782480201,"Planet Coaster® - 코스터 공원 시뮬레이션 게임의 미래가 도래했습니다! 코스터 공원의 제국을 건설하여 환상적인 손님들에게 놀라움과 기쁨, 스릴을 선사하세요. 상상의 나래를 마음껏 펼치고 성공적인 작품을 세상에 공유하세요."
1597480,Zombie Gunship Survival,True,0,0,0,5,복합적,2339,0.5041,액션|무료 플레이,싱글 플레이어|앱 내 구매|컨트롤러 일부 지원|가족 공유,싱글 플레이어,12,2021년 9월 22일,Flaregames,Flaregames,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1597480/header.jpg?t=1740474300,"대재앙이 지나갔습니다. 우리에게 남은 것은 살아남으려는 의지, 끝없이 밀려오는 좀비 무리, 그리고 그들을 모두 산산조각으로 만들어 버리기에 충분한 총알들 뿐입니다."
3124340,데메오 x 던전즈 & 드래곤즈: 배틀마크트 (Demeo x Dungeons & Dragons: Battlemarked),False,32000,32000,0,8,매우 긍정적,1370,0.8328,어드벤처|RPG|전략,싱글 플레이어|멀티플레이어|협동|온라인 협동|크로스 플랫폼 멀티플레이어|Steam 도전 과제|컨트롤러 완벽 지원|추적되는 컨트롤러 지원|VR 지원|DualSense 컨트롤러 지원|DualSense 컨트롤러 지원|가족 공유,싱글 플레이어|멀티플레이어|협동|온라인 협동,11,2025년 11월 20일,Resolution Games,Resolution Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3124340/2c2c8a669cef63e8c46505bedda8fda57d559d71/header.jpg?t=1787574339,전략성과 협동 요소를 두루 갖춘 D&D 기반 RPG. 테이블 톱으로 펼쳐지는 판타지 모험을 떠나세요. 떠나고 싶을 때 떠나는 나만의 퀘스트입니다.
3320,Insaniquarium Deluxe,False,5000,5000,0,9,압도적으로 긍정적,6820,0.968,캐주얼,싱글 플레이어|가족 공유,싱글 플레이어,1,2006년 8월 30일,"PopCap Games, Inc.","PopCap Games, Inc.|Electronic Arts",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3320/header.jpg?t=1615205929,"The craziest aquarium game ever! Tend to your fish, keep them happy and they'll reward you with coins and jewels. Buy tank upgrades or egg parts which hatch different in-tank pets. These pets can help you feed your fish, collect coins, or even protect against the aliens that will invade your tank."
3590,Plants vs. Zombies GOTY Edition,False,5000,5000,0,9,압도적으로 긍정적,155430,0.977,전략,싱글 플레이어|Steam 도전 과제|Remote Play 휴대전화|Remote Play 태블릿|가족 공유,싱글 플레이어,1,2009년 5월 5일,"PopCap Games, Inc.","PopCap Games, Inc.|Electronic Arts",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3590/header.jpg?t=1777394124,"Bejeweled와 Peggle의 제작사인 PopCap의 신개념 액션-전략 게임! 좀비들이 당신의 집을 침략하려는 마당에, 그에 대한 유일한 방어책은 여러분의 식물 군단입니다! Peashooter와 Cherry Bomb 같은 좀비 패는 식물들로 무장하세요. 재빠르게 판단하고 식물을 심어 몰려오는 좀비를 막아내세요. 오싹한 안개, 지는 태양, 수영장 등의 방해 요소들과 게임에 전념할 수 있게 만드는 5개의 모드가 새로운 도전 요소로 추가됐습니다. 고로 재미는 절대 죽지 않을 것입니다!"
2068280,Nordic Ashes: Survivors of Ragnarok,False,11000,6600,40,8,매우 긍정적,6325,0.8825,액션|어드벤처|캐주얼|인디|RPG|전략,싱글 플레이어|Steam 도전 과제|컨트롤러 완벽 지원|Steam 트레이딩 카드|Steam Cloud|가족 공유,싱글 플레이어,17,2024년 4월 26일,Noxfall Studios,Noxfall Studios,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2068280/b35709a035b6a356b149d495e6e05c29d9aea4ea/header_alt_assets_0.jpg?t=1780908930,"노르딕 애쉬: 라그나로크의 생존자는 북유럽에서 영감을 받은 도전적인 로그라이트 서바이벌 게임으로, 다가오는 수많은 크리처로부터 살아남아야 합니다."
1100410,Commandos 2 - HD Remaster,False,23600,23600,0,5,복합적,2459,0.573,전략,싱글 플레이어|Steam 도전 과제|컨트롤러 완벽 지원|가족 공유,싱글 플레이어,11,2020년 1월 24일,Yippee! Entertainment|Pyro Studios,Kalypso Media,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1100410/header.jpg?t=1768230333,Relive the real-time tactics masterpiece that defined the genre like no other: Commandos 2 - HD Remaster is a true homage to one of gaming’s most celebrated masterpieces.
1862520,바둑,False,10500,10500,0,8,매우 긍정적,3312,0.9278,캐주얼|인디|시뮬레이션|전략,싱글 플레이어|멀티플레이어|PvP|온라인 PvP|스크린 공유 및 분할 PvP|협동|스크린 공유 및 분할 협동|공유 및 분할 화면|Steam 도전 과제|Steam Cloud|통계|Steam 순위표|Remote Play Together|가족 공유,싱글 플레이어|멀티플레이어|협동|PvP,8,2022년 8월 9일,Studio Amateur,Studio Amateur,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1862520/header.jpg?t=1770244554,게임을 통해 초보부터 탑 바둑 선수까지 모든 수준을 경험하고 주요 바둑 리그에서 본인의 재능을 펼치세요! 또한 이 게임에는 역사적으로 주목할만한 바둑 경기가 포함되어 있으며 초보자를 위한 풀더빙 튜토리얼을 통해 바둑의 매력을 느끼실 수 있습니다.
736260,Baba Is You,False,15500,15500,0,9,압도적으로 긍정적,24528,0.9772,인디,싱글 플레이어|Steam 도전 과제|DUALSHOCK 컨트롤러 지원|DUALSHOCK 컨트롤러 지원|DualSense 컨트롤러 지원|DualSense 컨트롤러 지원|컨트롤러 일부 지원|Steam Cloud|Remote Play 휴대전화|Remote Play 태블릿|Remote Play TV|가족 공유,싱글 플레이어,18,2019년 3월 13일,Hempuli Oy,Hempuli Oy,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/736260/header.jpg?t=1760102539,Baba Is You는 상호작용 가능한 블럭의 형태로 제시되는 게임의 규칙을 바꿔가며 풀어 나가는 퍼즐 게임입니다. 규칙을 바꿈으로써 당신은 게임의 작동 방법을 바꾸고 때로는 예상치 못한 신기한 모습으로 변화시킬 수 있습니다!
3769130,Keep on Mining!,False,5600,5600,0,8,매우 긍정적,8337,0.9356,캐주얼|인디,싱글 플레이어|Steam 도전 과제|음량 개별 조절|마우스 전용 옵션|퀵타임 이벤트 없이 플레이 가능|Steam Cloud|가족 공유,싱글 플레이어,11,2025년 7월 30일,EagleEye Games,EagleEye Games,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3769130/320ecc31730377d03c319b411fbf9ee95908d3c2/header.jpg?t=1779084143,"Keep on Mining! 은 짧은 증분형 채굴 게임입니다. 바위를 캐고, 재료를 모으고, 유물을 발견하고, 곡괭이를 제작하며, 거대한 스킬 트리에서 재료를 사용해 영구 업그레이드를 구매하세요!"
1530850,A Little Age,False,16000,13600,15,5,복합적,20,0.5,캐주얼|인디|시뮬레이션|전략,싱글 플레이어|Steam 도전 과제|가족 공유,싱글 플레이어,3,2026년 8월 28일,Benerot,Benerot,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1530850/8636dcdf379c8f198cea8cecb05c8bd2339db4fb/header.jpg?t=1787991085,"A cozy minimalist city builder about expanding a network of settlements, each with its own little economy. Manage the flow of resources between them at your own pace, and pause at any time. Watch a civilization emerge as your settlements work together to raise a great temple and claim the land."
3784030,RACCOIN: Coin Pusher Roguelike,False,13500,13500,0,8,매우 긍정적,4581,0.8245,캐주얼|인디|시뮬레이션|전략,싱글 플레이어|Steam 도전 과제|컨트롤러 완벽 지원|Steam 트레이딩 카드|카메라 움직임 조정|음량 개별 조절|난이도 조정|마우스 전용 옵션|#category_playable_at_your_own_pace|DUALSHOCK 컨트롤러 지원|DUALSHOCK 컨트롤러 지원|DualSense 컨트롤러 지원|DualSense 컨트롤러 지원|수시 저장|스테레오 사운드|Steam Cloud|가족 공유,싱글 플레이어,10,2026년 3월 31일,Doraccoon ,Playstack,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3784030/441ff79feb6f3e92a5a6ed4a1d4b89c79e275644/header.jpg?t=1786037377,"코인 푸셔 도파민 생성기. RACCOIN은 로그라이크 덱 빌더로, 특별한 코인과 강력한 아이템을 조합하여 만족스러운 콤보를 만드는 게임입니다. 빛나는 타워를 쌓고, 행운의 휠을 돌리고, 모든 코인이 떨어질 때까지 기계를 흔드세요."
